name,date time,longitude,latitude
0,2016-03-18 08:08:03,105.844992,21.00418
1,2016-03-18 12:06:30,105.848662,21.0031
2,2016-03-18 13:47:25,105.848447,21.00351
3,2016-03-18 14:20:06,105.848662,21.0031
4,2016-03-18 15:47:45,105.848662,21.0031
5,2016-03-18 16:44:26,105.844258,21.00316
6,2016-03-18 17:20:48,105.839121,21.00944
7,2016-03-19 17:01:48,105.846093,21.00769
8,2016-03-19 19:16:39,105.850497,21.02502
9,2016-03-19 19:42:09,105.850497,21.02502
10,2016-03-20 10:40:29,105.833617,21.00815
11,2016-03-20 14:55:15,105.831782,21.00688
12,2016-03-21 17:42:10,105.838387,21.00987
13,2016-03-22 12:09:39,105.839488,21.00904
14,2016-03-22 16:49:08,105.847928,21.0086
15,2016-03-22 20:14:26,105.841323,21.00851
16,2016-03-23 09:41:17,105.844992,21.00454
17,2016-03-23 11:22:52,105.809399,21.0224
18,2016-03-24 16:57:05,105.843524,21.00721
19,2016-03-24 20:12:27,105.841323,21.00851
20,2016-03-25 18:03:25,105.844647,21.00435
21,2016-03-26 08:05:50,105.844992,21.00418
22,2016-03-26 16:52:25,105.844258,21.00678
23,2016-03-26 19:46:12,105.839121,21.00908
24,2016-03-28 09:17:24,105.848295,21.0035
25,2016-03-28 14:18:03,105.844625,21.00312
26,2016-03-29 08:57:05,105.841528,21.00818
27,2016-03-29 12:33:45,105.848295,21.0035
28,2016-03-29 20:09:38,105.847561,21.01045
29,2016-03-30 09:10:08,105.841323,21.00851
