name,date time,longitude,latitude
106,2008-02-06 10:12:15,116.44894,39.80624
106,2008-02-06 10:12:45,116.44886,39.80626
106,2008-02-06 10:12:55,116.44884,39.80626
106,2008-02-06 10:13:59,116.44885,39.80625
106,2008-02-06 10:14:39,116.44908,39.80632
106,2008-02-06 10:30:39,116.44895,39.80611
106,2008-02-06 10:30:44,116.44897,39.80612
name,date time,longitude,latitude
106,2008-02-06 10:12:15,116.44894,39.80624
106,2008-02-06 10:12:45,116.44886,39.80626
106,2008-02-06 10:12:55,116.44884,39.80626
106,2008-02-06 10:13:59,116.44885,39.80625
106,2008-02-06 10:14:39,116.44908,39.80632
106,2008-02-06 10:30:39,116.44895,39.80611
106,2008-02-06 10:30:44,116.44897,39.80612
